stat	ploidy	miss_pct	estimator	mean	q025	q975	sd_value	n_reps	theoretical	se_mean	ci_lo	ci_hi
tajimaD	6	0.1	new	0.03682858582008506	-0.26900809707918905	0.34065806880032146	0.15591856781894298	20000	-0.01964	0.0011025107661766919	0.034667664718378746	0.03898950692179137
tajimaD	6	0.1	new_multi	-0.020474573090631578	-0.31401692674788123	0.27209768862036005	0.14941268873716537	20000	-0.01964	0.0010565072540136453	-0.02254532730849832	-0.018403818872764835
tajimaD	6	0.25	new	0.035439170740614374	-0.27025482746190205	0.3371898335453519	0.15531168441076046	20000	-0.021011	0.0010982194524435372	0.03328666061382504	0.03759168086740371
tajimaD	6	0.25	new_multi	-0.021886054644014576	-0.3158367735600618	0.2672955903421384	0.1487679508112498	20000	-0.021011	0.0010519482684186148	-0.023947873250115062	-0.01982423603791409
tajimaD	6	0.5	new	0.034220697139138695	-0.2734144234879855	0.3377545392552882	0.15583827121861377	20000	-0.022813	0.0011019429834707016	0.03206088889153612	0.03638050538674127
tajimaD	6	0.5	new_multi	-0.022922863166800554	-0.316362879896023	0.2667919508452007	0.14921395728827155	20000	-0.022813	0.0010551020104621668	-0.024990863107306402	-0.020854863226294706
tajimaD	6	0.75	new	0.02973866690490279	-0.27270532560496274	0.3272124580965646	0.15393437025871828	20000	-0.026809	0.001088480370676205	0.027605245378377427	0.03187208843142815
tajimaD	6	0.75	new_multi	-0.027260298655482792	-0.3177803125350698	0.2579530443438645	0.14715427575379184	20000	-0.026809	0.0010405378626610136	-0.02929975286629838	-0.025220844444667205
tajimaD	8	0	new	0.041529237454961454	-0.26299880063738124	0.3446244613519791	0.15472541856214161	100000	-0.015462	4.892847345792623e-4	0.0405702393751861	0.04248823553473681
tajimaD	8	0	new_multi	-0.016082952134438427	-0.3064803888225887	0.2727570003737198	0.14767116278244996	100000	-0.015462	4.669772191180297e-4	-0.016998227483909764	-0.01516767678496709
tajimaD	8	0.1	new	0.0396120013250183	-0.266957873149207	0.34226732457944475	0.15545710324698458	20000	-0.01544	0.0010992477188956004	0.03745747579598292	0.04176652685405367
tajimaD	8	0.1	new_multi	-0.017938968649551384	-0.3093802986393155	0.2705492712930579	0.14811265495204554	20000	-0.01544	0.0010473146269613467	-0.019991705318395624	-0.015886231980707145
tajimaD	8	0.25	new	0.03821168119648317	-0.2666282149379297	0.33845643098385747	0.15492906364555645	20000	-0.017089	0.0010955139150665518	0.03606447392295273	0.04035888847001361
tajimaD	8	0.25	new_multi	-0.019352041672807622	-0.31061434773817703	0.26533258583638286	0.14759856520801026	20000	-0.017089	0.0010436794635198888	-0.021397653421306603	-0.01730642992430864
tajimaD	8	0.5	new	0.03630207069234138	-0.269573425329408	0.3377462824871538	0.15552306688642775	20000	-0.018939	0.0010997141522632206	0.034146630953905466	0.03845751043077729
tajimaD	8	0.5	new_multi	-0.021251258864925435	-0.31332923855573547	0.2648413351651421	0.14810231655538508	20000	-0.018939	0.0010472415234574948	-0.023303852250902125	-0.019198665478948745
tajimaD	8	0.75	new	0.031754923478417296	-0.27061399450153345	0.33187628730913693	0.15492288173533825	20000	-0.022651	0.001095470202360192	0.02960780188179132	0.033902045075043276
tajimaD	8	0.75	new_multi	-0.025471008906105506	-0.31391900436098374	0.2620017240736003	0.14758572468864614	20000	-0.022651	0.0010435886673367254	-0.02751644269408549	-0.023425575118125524
thetaw	2	0	new	0.03366239381466878	0.029762805544051	0.03755992009366	0.0019893768403233428	120000	0.03490556531973321	5.742836271401446e-6	0.033651137855576836	0.03367364977376073
thetaw	2	0	new_multi	0.03626781672312986	0.031851266135739	0.040701971946909	0.0022641951822550822	120000	0.036259853635281065	6.5361684898641275e-6	0.03625500583288973	0.036280627613369996
thetaw	2	0.1	new	0.03367548335190938	0.029822954376036402	0.03757286602074361	0.0019895052793394525	20000	0.03490556531973321	1.4067926742273633e-5	0.03364791021549453	0.03370305648832424
thetaw	2	0.1	new_multi	0.03627977968676908	0.03188233438965307	0.04071978093336334	0.0022650989245756627	20000	0.036259853635281065	1.6016668096258072e-5	0.03624838701730041	0.03631117235623774
thetaw	2	0.25	new	0.03376802082841861	0.029839344836783	0.03775313406245507	0.002022582741143316	20000	0.034961837638778935	1.4301819717733144e-5	0.03373998926177185	0.03379605239506536
thetaw	2	0.25	new_multi	0.03629015759811086	0.03185465611720148	0.04077892326261831	0.0022896773332217062	20000	0.03626479933262855	1.6190463690501986e-5	0.03625842428927748	0.036321890906944244
