stat	ploidy	miss_pct	estimator	mean	n_windows	q025	q975	sd_value	n_reps	theoretical	se_mean	ci_lo	ci_hi
dxy	2	0.75	old	0.069714646076649	27650	0.06283842735789531	0.07680464968069635	0.003560646509747984	20000	0.07855381727658725	2.5177572924510117e-5	0.06966529803371696	0.06976399411958104
dxy	4	0	new	0.06662716544241837	100000	0.06051751704785417	0.07284028633735362	0.003149461224772968	100000	0.07855381727658725	9.959470872666099e-6	0.06660764487950795	0.06664668600532879
dxy	4	0	new_multi	0.07853881188375	100000	0.071248434375	0.08592406406249999	0.003737697564011974	100000	0.07855381727658725	1.1819637507140835e-5	0.07851564539423601	0.078561978373264
dxy	4	0.1	new	0.06675105626779144	20000	0.0605698127822302	0.07295055671821984	0.00317779564753186	20000	0.07855381727658725	2.247040851594874e-5	0.06670701426710018	0.0667950982684827
dxy	4	0.1	new_multi	0.07853582155359236	20000	0.0711695803693376	0.08592400221520674	0.003756048180970177	20000	0.07855381727658725	2.6559271392274086e-5	0.0784837653816635	0.07858787772552121
dxy	4	0.25	new	0.06701811244461942	20000	0.06078918417818342	0.07331139390410288	0.003219185301742821	20000	0.07855381727658725	2.276307756758411e-5	0.06697349681258695	0.06706272807665188
dxy	4	0.25	new_multi	0.07854289696509208	20000	0.07116505318436837	0.08600616244701405	0.0037862139729463312	20000	0.07855381727658725	2.67725757529361e-5	0.07849042271661633	0.07859537121356783
dxy	4	0.5	new	0.0673260376892614	20000	0.0609268926606695	0.07380573068533244	0.0033039611454672995	20000	0.07855381727658725	2.3362533307368005e-5	0.06728024712397897	0.06737182825454384
dxy	4	0.5	new_multi	0.07855315560006143	20000	0.07100847091488277	0.08610000020910728	0.00386165967313982	20000	0.07855381727658725	2.730605741511793e-5	0.0784996357275278	0.07860667547259506
dxy	4	0.75	new	0.06787101642856554	20000	0.06123580979112675	0.07456858710588157	0.0034209948706752295	20000	0.07855381727658725	2.419008671458851e-5	0.06782360385860495	0.06791842899852613
dxy	4	0.75	new_multi	0.07855843599038839	20000	0.07087777587420066	0.08641046092052927	0.003967489444847944	20000	0.07855381727658725	2.8054386907380323e-5	0.07850344939204992	0.07861342258872686
dxy	6	0	new	0.06567903951091025	100000	0.05966779479659608	0.07180817586568497	0.0031009809190160257	100000	0.07855381727658725	9.806162684812787e-6	0.06565981943204802	0.06569825958977249
dxy	6	0	new_multi	0.07855225032388889	100000	0.07134103958333378	0.08586448541666646	0.003708137791034236	100000	0.07855381727658725	1.1726161297413686e-5	0.07852926704774596	0.07857523360003182
